OBJECTID,OBJECTID,tract,ACS2019TotalPop,CIscore,CIscoreP,CIdecile,CIvigintile,ozone,ozoneP,pm,pmP,diesel,dieselP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,drink,drinkP,lead,leadP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,lbw,lbwP,cvd,cvdP,edu,eduP,ling,lingP,pov,povP,unemp,unempP,housingB,housingBP,PopChar,PopCharScore,PopCharP,Children_under10,Children_under10.pct,Pop.10_64.years,Pop.10_64.years.pct,Elderly_65over,Elderly_65over.pct,Hispanic,Hispanic.pct,White,White.pct,African.American,African.American.pct,Native.American,Native.American.pct,Asian.American,Asian.American.pct,Other.Multiple,Other.Multiple.pct,Shape__Area,Shape__Length,Tract (Text)
21,,6103001000,6608,23.7450333883022,46.0539586485124,5,10,0.04706421,48.5998755444928,7.216373246,7.81580584940884,0.033515919,11.96017423771,1091.803316,89.6551724137931,1.252247667,4.68867216804201,92.48796693,0.925,260.7429487,15.1742225552641,41.89341491,39.7227473219912,5.4,43.5237028742068,16.6,62.4273617798439,0.11,19.2455327597617,5,51.2179756404872,0,0,29.9727773778452,3.65967016436175,17.5606720597386,67.11,76.345962113659,4.48,38.1832178598922,20.89,90.2293120638086,18.6,62.3892685396102,5.5,40.4384896467722,40.4,69.7236180904523,11.3,90.5908381051536,11.6,21.0773130544994,62.5483680832087,6.48829875968981,69.6041351487645,943,14.27,4307,65.18,1358,20.55,2620,39.65,3867,58.52,0,0,5,0.08,59,0.89,57,0.86,181376814.952633,70425.4687562665,6103001000
22,,6103000400,6220,17.2104510904033,30.8119011598588,4,7,0.0499555,61.0329807093964,7.342260325,8.61232109520846,0.013452592,4.97822028624767,114.8865297,78,0.285354667,3.40085021255314,381.1713831,12.8875,391.5708567,42.4753340826777,18.09350731,10.3339634530561,0,0,20.3,68.6368919143284,0.1,16.6379880873594,3,33.1583368332633,11,92.8064146620848,32.559406253064,3.97549703624557,23.0118232731798,64.34,73.6166500498504,2.95,8.68616884783167,20.45,88.746261216351,6.2,26.9425461908378,0.5,1.81350656381107,29.4,52.8768844221105,2.4,9.72149921915669,15.4,40.8998732572877,41.7336109843259,4.32913191319008,37.6575895108422,289,4.65,4255,68.41,1676,26.95,695,11.17,4833,77.7,74,1.19,91,1.46,216,3.47,311,5,287587704.625763,107266.578892297,6103000400
23,,6103001100,7822,36.9121159659518,70.4488149268785,8,15,0.0478999,52.059738643435,7.270869203,8.18917237087741,0.089522196,33.5158680771624,225.6836308,81.2068965517241,1.4197157,5.08877219304826,493.7282465,20.425,251.0826249,11.7647058823529,66.68802276,74.9338374291115,12,68.9436356849571,30,79.6945043998008,0.4,61.5751158173395,3,33.1583368332633,2,52.8980526918671,43.6833089574578,5.33372334691855,53.2420659614188,69.27,77.9162512462612,3.93,24.9935848088273,21.56,92.4476570289133,22.9,69.7798025816249,11.1,65.9764514819326,46.4,77.9899497487437,9.7,84.9817803227486,15.8,42.8263624841572,66.7150168425877,6.92051566327996,75.4916792738275,1187,15.18,5710,73,925,11.83,3718,47.53,3630,46.41,74,0.95,113,1.44,46,0.58,241,3.08,172508915.065857,58234.3957016625,6103001100
24,,6083980100,10,,,,,0.0394206,17.6726820161792,7.052987702,6.99439950217797,0.002606776,1.00808960796515,0,0,9.346466667,8.68967241810453,,,,,,,0,0,0,0,0,0,0,0,0,0,4.58197913925691,0.559458742787753,0.0124455507156192,31.62,27.8788634097707,,,8.59,17.8963110667996,,,,,,,,,,,,,,2,20,8,80,0,0,6,60,2,20,2,20,0,0,0,0,0,0,503366796.904189,201043.776067688,6083980100
25,,6083980000,0,,,,,0.03975537,20.8462974486621,8.035979179,13.8270068450529,0.05606713,20.4107031736154,0.028230232,17.551724137931,127.1828664,26.5691422855714,891.3858401,50.875,,,,,1.4,19.9141470698022,20.5,68.9191432840777,0.205,35.9761747187293,10,82.9693406131877,0.5,22.0847651775487,31.9997796009822,3.90716673318466,21.9912881144991,30.54,25.9222333000997,,,11.38,41.1640079760718,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4609667.25532961,11357.5913142724,6083980000
26,,6083001704,3192,23.9434162713542,46.6591023701462,5,10,0.04192559,26.6957062850031,8.304837389,18.2825140012446,0.105084536,38.8674548848787,22.4093337,66.9310344827586,24.5761331,12.7406851712928,952.6432866,55.225,427.927304,49.3318346446859,39.31728366,36.1436672967864,0,0,15,59.604848082351,1.72,91.6611515552614,6,58.6938261234775,3.5,66.6895761741122,43.7947848595676,5.34733453242377,53.4785314250156,30.34,25.4985044865404,5.18,57.0952014370028,6.49,5.3963110667996,25.4,73.9939255884586,17.9,83.1100284206253,31.7,56.570351758794,4.9,43.0895366996356,13,28.2382762991128,43.1652147083864,4.47763575032989,39.851235501765,412,12.91,2149,67.32,631,19.77,1926,60.34,1143,35.81,57,1.79,0,0,47,1.47,19,0.6,6247353.77718925,12530.0654463826,6083001704
27,,6083002915,834,8.69251235237533,9.94704992435704,1,2,0.03975537,20.8462974486621,7.571171991,10.1057871810828,0.085598558,31.8855009334163,0,0,52.5327618,18.4296074018505,287.4850602,7.625,327.1017862,30.9479205695017,35.6753202,31.3673597983617,0,0,10,47.4348331396314,0.57,73.3156849768365,2,23.8765224695506,0,0,22.2424254834742,2.71579573353378,5.01555693839452,30.54,25.9222333000997,2.68,5.81216320246343,11.38,41.1640079760718,,,1.4,10.4479631885235,27.7,50.0125628140703,,,17.5,51.7743979721166,30.8555547422242,3.20072391492591,21.1926374180535,153,18.35,659,79.02,22,2.64,125,14.99,478,57.31,94,11.27,0,0,89,10.67,48,5.76,1357844.59566665,5385.98472160925,6083002915
28,,6083002606,3400,18.7990850880829,34.7327281896117,4,7,0.03272688,6.39701306782825,7.287689634,8.32607342874922,0.004535144,1.94150591163659,34.16751859,69.8965517241379,1.291097367,4.77619404851213,623.0353406,30,616.9053189,69.5141750967903,41.63443379,39.5085066162571,27.4,87.4953340798805,195,99.1034368255022,9.3,99.272005294507,5,51.2179756404872,7,83.2760595647194,47.2209890848324,5.76567338778389,62.8251400124455,28.12,22.0338983050847,2.81,7.05671028996664,11.07,38.4845463609172,2.3,7.40318906605922,0,0,25.2,44.8743718592965,7,67.4778761061947,25.7,81.9391634980988,31.4319858789597,3.26051855936095,22.0373171961674,853,25.09,2547,74.91,0,0,663,19.5,1741,51.21,363,10.68,26,0.76,171,5.03,436,12.82,404060422.739931,143330.918546674,6083002606
29,,6083003102,3296,22.0117006315624,42.1835602622289,5,9,0.03165382,3.85812072184194,6.903343306,6.54635967641568,0.010811724,4.1568139390168,138.0519816,79.2068965517241,1.5260075,5.25131282820705,387.3416648,13.375,605.9010043,68.8522542775072,42.83824095,41.0459987397606,9,58.1746920492721,6,35.0157728706625,4.73,97.5909993381866,10,82.9693406131877,5,75.6701030927835,41.8191235921456,5.10610668409584,48.0647168637212,46.39,51.0842472582253,3.09,10.1873235822428,14.91,65.7901296111665,16.3,58.2763857251329,2.7,21.4237379889024,26,46.3944723618091,5.8,55.0234252993233,11.9,22.6869455006337,41.5574467628526,4.31085795761435,37.3928391326273,228,6.92,2486,75.42,582,17.66,1375,41.72,1670,50.67,100,3.03,0,0,88,2.67,63,1.91,510993465.719724,134137.23182417,6083003102
30,,6083003007,3536,6.78308270241109,6.32879475542108,1,2,0.03975537,20.8462974486621,7.73618336,11.2134411947729,0.03609061,12.9558182949596,38.84258847,70.6551724137931,37.41954103,16.0665166291573,982.658813,56.775,474.4657378,57.5121768452604,39.93013524,37.0888468809074,1.4,19.9141470698022,24.5,73.9664618960651,0.775,80.8074123097286,11,86.9592608147837,3.45,65.2462772050401,45.385676428654,5.54158207701147,57.6851275668948,23.01,13.185443668993,2.27,3.19476520400308,6.29,4.53639082751745,1,1.7717033662364,0.8,4.58790093382054,15.3,22.713567839196,1.3,2.29047371160854,17.5,51.7743979721166,11.7999043323834,1.22403360775794,1.71457387796268,405,11.45,1819,51.44,1312,37.1,414,11.71,2931,82.89,0,0,14,0.4,89,2.52,88,2.49,12148179.5147939,20696.9674498038,6083003007
